City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
cidreira,-30.1811,-50.2056,70.84,78.0,100.0,4.12,BR,2021-04-17 01:07:17
belaya gora,68.5333,146.4167,20.32,74.0,0.0,11.34,RU,2021-04-17 01:07:18
namibe,-15.1961,12.1522,81.79,64.0,6.0,6.11,AO,2021-04-17 01:01:01
hailar,49.2,119.7,29.61,79.0,1.0,7.92,CN,2021-04-17 01:04:08
rio brilhante,-21.8019,-54.5464,66.33,91.0,43.0,2.1,BR,2021-04-17 01:07:20
digoin,46.4812,3.9795,33.01,80.0,0.0,3.44,FR,2021-04-17 01:07:21
naliya,23.2667,68.8333,77.76,81.0,0.0,8.21,IN,2021-04-17 01:07:21
hobyo,5.3505,48.5268,82.65,68.0,23.0,11.18,SO,2021-04-17 01:07:22
zhigansk,66.7697,123.3711,21.09,81.0,99.0,16.42,RU,2021-04-17 01:07:22
orlovskiy,46.8714,42.0592,50.97,96.0,100.0,5.39,RU,2021-04-17 01:07:23
jawhar,2.7809,45.5005,79.41,78.0,15.0,4.65,SO,2021-04-17 01:07:24
turek,52.0155,18.5005,39.99,94.0,100.0,4.0,PL,2021-04-17 01:07:24
lixourion,38.2019,20.4314,57.87,79.0,100.0,11.21,GR,2021-04-17 01:07:25
dicabisagan,17.0818,122.4157,82.49,64.0,100.0,6.29,PH,2021-04-17 01:07:26
guymon,36.6828,-101.4816,44.6,57.0,90.0,16.11,US,2021-04-17 01:07:01
fairbanks,64.8378,-147.7164,46.4,53.0,1.0,4.61,US,2021-04-17 01:04:23
upernavik,72.7868,-56.1549,-6.41,95.0,93.0,7.02,GL,2021-04-17 01:07:27
safford,32.834,-109.7076,73.4,8.0,1.0,9.22,US,2021-04-17 01:07:28
rawson,-43.3002,-65.1023,62.37,47.0,1.0,4.43,AR,2021-04-17 01:07:28
ambilobe,-13.2,49.05,73.26,95.0,12.0,2.3,MG,2021-04-17 01:07:29
shimoda,34.6667,138.95,64.4,68.0,75.0,9.22,JP,2021-04-17 01:07:30
assiniboia,49.6334,-105.9845,50.0,27.0,6.0,5.75,CA,2021-04-17 01:07:30
pundaguitan,6.3711,126.1689,82.81,74.0,100.0,9.42,PH,2021-04-17 01:07:31
jiuquan,39.7432,98.5174,47.57,13.0,58.0,1.95,CN,2021-04-17 01:07:31
banyuwangi,-8.2325,114.3576,83.21,67.0,36.0,2.86,ID,2021-04-17 01:07:32
jibuti,11.5,42.5,82.4,69.0,1.0,3.44,DJ,2021-04-17 01:07:33
leningradskiy,69.3833,178.4167,34.3,86.0,99.0,4.23,RU,2021-04-17 01:07:34
camacha,33.0833,-16.3333,62.6,67.0,75.0,10.36,PT,2021-04-17 01:07:01
morondava,-20.2833,44.2833,72.54,73.0,99.0,14.03,MG,2021-04-17 01:07:35
burnie,-41.0667,145.9167,59.0,71.0,81.0,8.99,AU,2021-04-17 00:59:33
wilmington,34.2257,-77.9447,62.01,55.0,1.0,6.91,US,2021-04-17 01:07:36
lavrentiya,65.5833,-171.0,33.57,89.0,100.0,9.84,RU,2021-04-17 01:07:37
rincon,32.296,-81.2354,59.0,67.0,40.0,3.44,US,2021-04-17 01:07:38
namatanai,-3.6667,152.4333,82.22,72.0,96.0,5.14,PG,2021-04-17 01:07:38
grandview,38.8858,-94.533,45.0,93.0,90.0,8.05,US,2021-04-17 01:03:11
praia,14.9215,-23.5087,69.8,73.0,20.0,17.27,CV,2021-04-17 01:07:39
winnemucca,40.973,-117.7357,57.2,19.0,75.0,17.27,US,2021-04-17 01:07:40
buerarema,-14.9594,-39.2997,77.0,83.0,40.0,5.75,BR,2021-04-17 01:07:40
stettler,52.3168,-112.7186,64.4,19.0,6.0,4.61,CA,2021-04-17 01:04:03
moranbah,-22.0016,148.0466,79.79,38.0,0.0,12.39,AU,2021-04-17 01:07:42
provideniya,64.3833,-173.3,33.85,86.0,26.0,7.85,RU,2021-04-17 01:07:42
port lincoln,-34.7333,135.8667,63.16,52.0,7.0,5.19,AU,2021-04-17 01:07:35
adrar,20.5022,-10.0711,71.19,23.0,0.0,11.32,MR,2021-04-17 01:01:04
bahia de caraquez,-0.6,-80.4167,80.6,78.0,0.0,4.61,EC,2021-04-17 01:07:44
vallenar,-28.5708,-70.7581,63.14,74.0,5.0,1.68,CL,2021-04-17 01:07:45
ngunguru,-35.6167,174.5,68.0,65.0,0.0,8.99,NZ,2021-04-17 01:07:45
acarau,-2.8856,-40.12,78.96,85.0,99.0,12.62,BR,2021-04-17 01:07:46
kenai,60.5544,-151.2583,51.8,49.0,1.0,8.05,US,2021-04-17 01:07:47
unguia,8.0434,-77.0945,74.91,95.0,100.0,3.04,CO,2021-04-17 01:07:47
dasoguz,41.8363,59.9666,57.2,44.0,0.0,6.91,TM,2021-04-17 01:07:48
shingu,33.7333,135.9833,59.0,94.0,75.0,9.22,JP,2021-04-17 01:07:49
rock sound,24.9,-76.2,75.42,71.0,0.0,10.49,BS,2021-04-17 01:07:50
bintulu,3.1667,113.0333,78.8,94.0,20.0,5.75,MY,2021-04-17 01:07:51
valdivia,-39.8142,-73.2459,51.8,93.0,100.0,2.71,CL,2021-04-17 01:01:44
ouahigouya,13.5828,-2.4216,85.41,15.0,55.0,7.96,BF,2021-04-17 01:07:52
ferrol,43.4832,-8.2369,48.99,75.0,0.0,2.3,ES,2021-04-17 01:07:52
central point,42.376,-122.9164,78.8,17.0,1.0,10.36,US,2021-04-17 01:03:00
atambua,-9.1061,124.8925,79.66,67.0,9.0,2.91,ID,2021-04-17 01:02:24
poum,-20.2333,164.0167,79.2,72.0,36.0,7.38,NC,2021-04-17 01:07:54
kalabo,-14.97,22.6814,61.7,60.0,10.0,5.88,ZM,2021-04-17 01:07:54
labuhan,-6.8844,112.2051,81.36,77.0,35.0,3.69,ID,2021-04-17 01:07:55
thinadhoo,0.5333,72.9333,81.54,65.0,76.0,4.21,MV,2021-04-17 01:07:56
ovalle,-30.5983,-71.2003,65.93,70.0,100.0,2.75,CL,2021-04-17 01:04:05
samarai,-10.6167,150.6667,83.93,75.0,26.0,11.32,PG,2021-04-17 01:07:57
ancud,-41.8697,-73.8203,54.0,100.0,90.0,1.14,CL,2021-04-17 01:07:57
quebo,11.3333,-14.9333,73.72,79.0,67.0,4.07,GW,2021-04-17 01:07:58
rameswaram,9.2833,79.3,84.54,74.0,92.0,13.47,IN,2021-04-17 01:07:59
dhidhdhoo,6.8833,73.1,83.88,67.0,37.0,0.83,MV,2021-04-17 01:08:00
leh,34.1667,77.5833,36.66,62.0,100.0,3.83,IN,2021-04-17 00:58:08
tongren,27.7172,109.1853,63.57,78.0,100.0,2.42,CN,2021-04-17 01:08:01
kabalo,-6.05,26.9167,67.33,97.0,51.0,3.65,CD,2021-04-17 01:08:01
puri,19.8,85.85,81.0,94.0,20.0,4.61,IN,2021-04-17 01:08:03
valparaiso,-33.0393,-71.6273,55.99,94.0,90.0,5.75,CL,2021-04-17 01:06:03
port blair,11.6667,92.75,83.01,71.0,83.0,8.99,IN,2021-04-17 01:02:26
kavaratti,10.5669,72.642,83.62,73.0,2.0,3.49,IN,2021-04-17 00:58:56
karratha,-20.7377,116.8463,85.91,39.0,0.0,19.6,AU,2021-04-17 01:01:18
sechura,-5.5569,-80.8222,72.72,69.0,93.0,15.59,PE,2021-04-17 01:08:05
gujranwala,32.1617,74.1883,64.4,88.0,75.0,11.5,PK,2021-04-17 01:08:06
oistins,13.0667,-59.5333,80.6,65.0,40.0,18.41,BB,2021-04-17 01:08:06
alizai,33.5383,70.3462,57.34,81.0,100.0,1.97,PK,2021-04-17 01:08:07
travesia,15.8667,-87.9,87.8,74.0,75.0,8.05,HN,2021-04-17 01:08:08
lompoc,34.6391,-120.4579,57.2,67.0,1.0,13.8,US,2021-04-17 00:57:01
kalakamati,-20.5929,27.3121,61.0,76.0,75.0,18.39,BW,2021-04-17 01:08:09
kaitangata,-46.2817,169.8464,55.99,52.0,58.0,8.01,NZ,2021-04-17 01:08:10
opuwo,-18.0607,13.84,72.34,44.0,100.0,4.97,NA,2021-04-17 01:08:11
halaszi,47.8893,17.3262,41.0,75.0,75.0,10.36,HU,2021-04-17 01:08:11
yantal,56.8471,105.2542,32.45,94.0,100.0,8.32,RU,2021-04-17 01:08:12
deputatskiy,69.3,139.9,7.05,83.0,96.0,4.54,RU,2021-04-17 01:08:12
ambunti,-4.2365,142.8448,77.67,95.0,100.0,1.97,PG,2021-04-17 01:08:13
shimanovsk,52.0,127.7,43.16,31.0,4.0,5.95,RU,2021-04-17 01:08:14
beringovskiy,63.05,179.3167,33.3,95.0,100.0,13.27,RU,2021-04-17 01:02:00
arrecife,28.963,-13.5477,66.2,77.0,20.0,18.41,ES,2021-04-17 01:06:02
torbat-e jam,35.244,60.6225,62.37,30.0,95.0,8.05,IR,2021-04-17 01:08:15
neiafu,-18.65,-173.9833,82.4,69.0,40.0,5.75,TO,2021-04-17 01:08:16
bilma,18.6853,12.9164,84.0,8.0,1.0,9.06,NE,2021-04-17 01:08:17
riyadh,24.6877,46.7219,69.8,17.0,0.0,6.91,SA,2021-04-17 01:08:17
kamien pomorski,53.9685,14.7726,41.0,81.0,20.0,5.75,PL,2021-04-17 01:08:18
dalian,38.9122,121.6022,51.8,35.0,0.0,20.13,CN,2021-04-17 01:08:18
youkounkoun,12.5333,-13.1333,85.12,41.0,46.0,9.55,GN,2021-04-17 01:08:19
jinchang,38.4953,102.1739,42.6,19.0,9.0,0.74,CN,2021-04-17 01:08:20
kodiak,57.79,-152.4072,46.4,61.0,40.0,9.22,US,2021-04-17 01:08:20
aban,56.67,96.06,27.28,79.0,100.0,11.39,RU,2021-04-17 01:08:21
palmer,42.1584,-72.3287,39.2,75.0,90.0,14.97,US,2021-04-17 01:08:06
ust-koksa,50.2696,85.6108,41.81,60.0,100.0,1.12,RU,2021-04-17 01:08:22
pearl,32.2746,-90.132,57.2,82.0,75.0,6.62,US,2021-04-17 01:08:23
coracora,-15.0333,-73.7833,51.17,85.0,100.0,0.45,PE,2021-04-17 01:08:23
waw,7.7029,27.9953,83.79,30.0,31.0,4.61,SS,2021-04-17 01:08:24
cockburn town,21.4612,-71.1419,76.82,71.0,39.0,9.44,TC,2021-04-17 01:08:24
la ronge,55.1001,-105.2842,51.8,25.0,47.0,6.91,CA,2021-04-17 01:08:25
itaueira,-7.6033,-43.0256,80.49,58.0,98.0,4.65,BR,2021-04-17 01:08:26
itacare,-14.2775,-38.9967,77.0,83.0,40.0,5.75,BR,2021-04-17 01:08:26
severomuysk,56.1481,113.4267,25.47,80.0,91.0,6.24,RU,2021-04-17 01:08:27
tabou,4.423,-7.3528,79.65,82.0,45.0,6.29,CI,2021-04-17 01:08:28
jiwani,25.05,61.7417,80.71,73.0,68.0,7.58,PK,2021-04-17 01:08:29
barahona,18.2085,-71.1008,78.8,89.0,20.0,13.8,DO,2021-04-17 01:01:29
wake forest,35.9799,-78.5097,59.0,50.0,1.0,4.61,US,2021-04-17 01:04:09
malokaterynivka,47.6525,35.2539,39.2,93.0,62.0,6.71,UA,2021-04-17 01:08:30
faya,18.3851,42.4509,64.4,25.0,0.0,7.11,SA,2021-04-17 01:08:31
katsuura,35.1333,140.3,62.01,75.0,100.0,16.98,JP,2021-04-17 01:08:31
port said,31.2565,32.2841,64.4,94.0,0.0,5.75,EG,2021-04-17 01:08:32
zhumadian,32.9794,114.0294,55.06,37.0,47.0,5.5,CN,2021-04-17 01:08:33
beruwala,6.4788,79.9828,78.89,83.0,100.0,5.91,LK,2021-04-17 01:08:34
sambava,-14.2667,50.1667,74.52,90.0,9.0,3.42,MG,2021-04-17 01:08:35
puerto baquerizo moreno,-0.9,-89.6,77.41,85.0,58.0,4.05,EC,2021-04-17 01:08:35
lebu,-37.6167,-73.65,53.37,86.0,89.0,10.78,CL,2021-04-17 01:08:36
imbituba,-28.24,-48.6703,75.2,78.0,75.0,5.75,BR,2021-04-17 01:08:37
san francisco,37.7749,-122.4194,59.0,67.0,20.0,23.02,US,2021-04-17 01:05:17
roald,62.5833,6.1333,37.99,65.0,0.0,9.22,NO,2021-04-17 01:08:38
morehead,37.2711,-87.1764,57.2,44.0,40.0,4.63,US,2021-04-17 01:08:38
bomet,-0.7813,35.3416,53.76,97.0,100.0,2.93,KE,2021-04-17 01:08:39
lahij,13.1667,44.5833,71.69,76.0,0.0,4.99,YE,2021-04-17 01:08:40
shakiso,5.75,38.9167,57.06,96.0,16.0,2.13,ET,2021-04-17 01:08:40
barranca,-10.75,-77.7667,67.35,83.0,100.0,6.2,PE,2021-04-17 01:08:41
zlobin,45.2924,14.6541,50.0,34.0,20.0,9.22,HR,2021-04-17 01:08:41
college,64.8569,-147.8028,46.4,53.0,20.0,4.61,US,2021-04-17 01:00:14
neuquen,-38.9516,-68.0591,51.8,66.0,0.0,2.3,AR,2021-04-17 01:07:13
polyarnyy,69.1989,33.4478,39.2,70.0,0.0,8.95,RU,2021-04-17 01:08:43
bandarbeyla,9.4942,50.8122,79.79,74.0,25.0,5.82,SO,2021-04-17 01:00:25
lufilufi,-13.8745,-171.5986,89.6,66.0,75.0,5.75,WS,2021-04-17 01:08:45
siderno,38.2779,16.302,54.0,76.0,93.0,5.75,IT,2021-04-17 01:05:11
domat,46.8348,9.4508,33.01,85.0,11.0,1.01,CH,2021-04-17 01:08:46
zemio,5.0314,25.1361,71.46,69.0,78.0,3.53,CF,2021-04-17 01:08:46
sabrum,23.0,91.7319,78.49,71.0,5.0,3.29,IN,2021-04-17 01:08:47
sanchez,19.2281,-69.6137,78.8,83.0,20.0,4.61,DO,2021-04-17 01:05:31
naze,28.3667,129.4833,71.6,94.0,75.0,17.27,JP,2021-04-17 01:08:48
maneadero,31.7167,-116.5667,62.01,77.0,0.0,4.0,MX,2021-04-17 01:08:07
los llanos de aridane,28.6585,-17.9182,68.0,77.0,40.0,16.11,ES,2021-04-17 00:59:25
noumea,-22.2763,166.4572,80.01,83.0,90.0,16.11,NC,2021-04-17 01:08:50
vyartsilya,62.1764,30.693,31.17,94.0,7.0,3.53,RU,2021-04-17 01:08:50
puga,21.5833,-104.8167,80.6,44.0,1.0,6.91,MX,2021-04-17 01:08:51
carman,49.4992,-98.0016,46.4,29.0,17.0,9.22,CA,2021-04-17 01:08:52
oranjemund,-28.55,16.4333,75.47,40.0,100.0,7.18,NA,2021-04-17 01:08:52
sept-iles,50.2001,-66.3821,32.0,80.0,20.0,10.36,CA,2021-04-17 01:08:53
sao filipe,14.8961,-24.4956,71.71,73.0,0.0,8.59,CV,2021-04-17 01:08:53
kastamonu,41.5,33.6667,45.57,86.0,100.0,0.89,TR,2021-04-17 01:04:32
flinders,-34.5833,150.8552,64.99,72.0,100.0,1.01,AU,2021-04-17 01:02:15
taga,46.95,24.05,32.0,93.0,0.0,4.61,RO,2021-04-17 01:08:55
wonthaggi,-38.6044,145.5913,61.0,66.0,100.0,10.27,AU,2021-04-17 01:08:56
beloha,-25.1667,45.05,66.2,58.0,94.0,15.99,MG,2021-04-17 01:07:22
te anau,-45.4167,167.7167,52.38,52.0,98.0,2.59,NZ,2021-04-17 01:08:57
abha,18.2164,42.5053,64.4,25.0,0.0,7.83,SA,2021-04-17 01:04:05
fenyi,27.8112,114.6681,68.65,73.0,95.0,0.34,CN,2021-04-17 01:08:58
half moon bay,37.4636,-122.4286,64.0,81.0,90.0,12.66,US,2021-04-17 01:08:58
bogorodsk,56.1033,43.5158,46.0,33.0,0.0,13.42,RU,2021-04-17 01:08:59
saint george,37.1041,-113.5841,61.0,29.0,75.0,19.57,US,2021-04-17 01:08:59
paamiut,61.994,-49.6678,12.47,65.0,56.0,14.34,GL,2021-04-17 01:09:00
carballo,43.213,-8.691,46.0,75.0,0.0,2.3,ES,2021-04-17 01:01:48
vostok,46.4856,135.8833,46.22,46.0,79.0,9.95,RU,2021-04-17 01:09:01
khuzdar,27.7384,66.6434,66.54,30.0,0.0,3.96,PK,2021-04-17 01:09:02
narsaq,60.9167,-46.05,17.6,38.0,8.0,19.57,GL,2021-04-17 01:09:02
mahibadhoo,3.7833,72.9667,82.44,73.0,21.0,5.53,MV,2021-04-17 01:09:03
eltham,-39.4292,174.3,55.0,92.0,36.0,7.61,NZ,2021-04-17 01:09:04
iberia,29.9502,-91.7507,68.0,94.0,90.0,8.05,US,2021-04-17 01:05:17
biak,-0.9131,122.8766,80.76,73.0,91.0,4.63,ID,2021-04-17 01:09:05
corinto,37.9407,22.9573,57.99,64.0,100.0,11.01,GR,2021-04-17 01:09:05
mikuni,36.2171,136.1519,55.4,94.0,90.0,4.61,JP,2021-04-17 01:09:06
porto novo,6.4965,2.6036,82.4,83.0,40.0,11.5,BJ,2021-04-17 01:09:07
cepu,-7.1475,111.5906,79.36,81.0,65.0,5.55,ID,2021-04-17 01:09:07
krasnoselkup,65.7,82.4667,6.21,94.0,100.0,12.62,RU,2021-04-17 01:07:41
garh maharaja,30.8339,71.9053,65.44,69.0,1.0,5.21,PK,2021-04-17 01:09:08
sadovoye,47.7764,44.5089,54.18,57.0,100.0,5.53,RU,2021-04-17 01:09:09
maumere,-8.6199,122.2111,83.21,64.0,55.0,3.18,ID,2021-04-17 01:00:17
vila franca do campo,37.7167,-25.4333,60.8,94.0,40.0,8.05,PT,2021-04-17 01:08:14
paka,4.6374,103.4368,77.0,94.0,20.0,1.07,MY,2021-04-17 01:09:11
guadalajara,20.6667,-103.3333,84.2,10.0,1.0,11.5,MX,2021-04-17 01:09:11
ranfurly,-45.1333,170.1,48.99,57.0,29.0,3.0,NZ,2021-04-17 01:09:12
haines junction,60.7522,-137.5108,51.8,30.0,99.0,6.91,CA,2021-04-17 01:00:23
tocopilla,-22.092,-70.1979,66.42,72.0,21.0,2.66,CL,2021-04-17 01:09:13
maniitsoq,65.4167,-52.9,7.16,88.0,100.0,8.52,GL,2021-04-17 01:09:14
biltine,14.5333,20.9167,78.44,8.0,7.0,12.1,TD,2021-04-17 01:09:14
maragogi,-9.0122,-35.2225,76.69,86.0,100.0,6.62,BR,2021-04-17 01:09:15
calbuco,-41.768,-73.1273,51.8,93.0,0.0,4.61,CL,2021-04-17 01:09:16
tiarei,-17.5333,-149.3333,87.8,66.0,20.0,13.8,PF,2021-04-17 01:09:17
iskateley,67.6803,53.1512,27.77,94.0,100.0,13.96,RU,2021-04-17 01:01:51
saint anthony,45.0205,-93.218,55.99,32.0,1.0,4.61,US,2021-04-17 01:09:18
pamekasan,-7.1568,113.4746,81.75,76.0,15.0,2.08,ID,2021-04-17 01:09:19
mykhaylivka,47.2724,35.2224,39.2,93.0,13.0,6.71,UA,2021-04-17 01:09:19
doha,25.2867,51.5333,71.6,46.0,0.0,4.61,QA,2021-04-17 01:09:20
praia da vitoria,38.7333,-27.0667,63.0,82.0,75.0,18.19,PT,2021-04-17 01:09:21
tautira,-17.7333,-149.15,87.8,66.0,20.0,13.8,PF,2021-04-17 01:09:21
murud,18.3258,72.965,78.69,73.0,0.0,7.31,IN,2021-04-17 01:09:22
pudozh,61.8099,36.5345,29.64,95.0,3.0,4.0,RU,2021-04-17 01:00:24
camaguey,21.3808,-77.9169,80.6,61.0,20.0,4.61,CU,2021-04-17 01:05:04
pacos de ferreira,41.2766,-8.3762,57.99,60.0,24.0,3.0,PT,2021-04-17 01:09:24
mikhaylovka,50.06,43.2379,50.88,75.0,63.0,4.5,RU,2021-04-17 01:09:25
canyon lake,29.8752,-98.2625,68.0,88.0,100.0,8.99,US,2021-04-17 01:09:25
lagos,6.5833,3.75,80.6,89.0,20.0,6.89,NG,2021-04-17 01:07:03
homer,59.6425,-151.5483,48.2,53.0,1.0,5.75,US,2021-04-17 01:09:26
nurota,40.5614,65.6886,48.2,66.0,85.0,4.61,UZ,2021-04-17 01:09:27
kununurra,-15.7667,128.7333,86.0,32.0,41.0,18.41,AU,2021-04-17 01:09:27
kwekwe,-18.9281,29.8149,61.52,70.0,100.0,14.79,ZW,2021-04-17 01:09:28
borogontsy,62.6683,131.1683,33.21,99.0,100.0,10.11,RU,2021-04-17 01:09:29
shestakovo,56.4915,103.96,32.9,94.0,100.0,4.47,RU,2021-04-17 01:09:29
xunchang,28.4543,104.715,59.61,89.0,100.0,1.19,CN,2021-04-17 01:08:15
khani,41.9563,42.9566,51.8,93.0,0.0,3.44,GE,2021-04-17 01:01:19
taksimo,56.3444,114.8794,31.42,73.0,93.0,2.06,RU,2021-04-17 01:09:31
saint-augustin,51.226,-58.6502,30.74,74.0,43.0,10.92,CA,2021-04-17 01:09:31
luang prabang,19.8856,102.1347,73.4,94.0,90.0,1.23,LA,2021-04-17 01:09:32
olafsvik,64.8945,-23.7142,38.32,75.0,90.0,30.04,IS,2021-04-17 01:09:33
malatya,38.5,38.0,44.6,81.0,0.0,5.75,TR,2021-04-17 01:09:33
baghdad,33.3406,44.4009,62.6,42.0,0.0,5.75,IQ,2021-04-17 01:05:16
twentynine palms,34.1356,-116.0542,79.0,8.0,1.0,4.61,US,2021-04-17 01:09:35
palasa,18.7667,84.4167,79.5,76.0,0.0,5.82,IN,2021-04-17 01:09:36
salalah,17.0151,54.0924,77.0,73.0,0.0,4.61,OM,2021-04-17 01:09:36
mildura,-34.2,142.15,60.8,41.0,40.0,8.05,AU,2021-04-17 01:09:37
marzuq,14.4,46.4667,65.7,47.0,10.0,2.13,YE,2021-04-17 01:09:38
banda aceh,5.5577,95.3222,81.5,74.0,100.0,7.61,ID,2021-04-17 01:08:01
zhanaozen,43.3,52.8,52.92,52.0,0.0,5.21,KZ,2021-04-17 01:09:39
los algarrobos,8.5,-82.4333,77.0,94.0,90.0,4.61,PA,2021-04-17 01:09:39
eresos,39.1667,25.9333,57.2,82.0,0.0,2.3,GR,2021-04-17 01:09:40
mehamn,71.0357,27.8492,39.2,91.0,100.0,34.4,NO,2021-04-17 01:09:41
piranshahr,36.701,45.1413,47.84,55.0,77.0,2.15,IR,2021-04-17 01:09:41
marsh harbour,26.5412,-77.0636,76.06,70.0,3.0,6.89,BS,2021-04-17 01:09:42
kualakapuas,-3.0091,114.3876,80.6,83.0,42.0,4.61,ID,2021-04-17 01:09:42
conakry,9.538,-13.6773,79.61,78.0,93.0,4.38,GN,2021-04-17 01:07:23
conde,-7.2597,-34.9075,75.2,100.0,20.0,6.96,BR,2021-04-17 01:09:43
udachnyy,66.4167,112.4,7.83,93.0,94.0,28.32,RU,2021-04-17 01:09:44
whitehorse,60.7161,-135.0538,51.8,46.0,20.0,6.91,CA,2021-04-17 01:09:45
calvinia,-31.4707,19.776,67.14,28.0,0.0,6.08,ZA,2021-04-17 01:09:46
ati,13.2154,18.3353,79.7,7.0,17.0,10.78,TD,2021-04-17 01:09:46
jiayuguan,39.8167,98.3,46.56,14.0,24.0,1.83,CN,2021-04-17 01:09:47
panaba,21.2833,-88.2667,83.88,51.0,0.0,14.43,MX,2021-04-17 01:09:48
nerchinskiy zavod,51.3088,119.61,41.7,28.0,4.0,10.45,RU,2021-04-17 01:09:48
bastia,42.6667,9.3333,54.0,93.0,0.0,4.61,FR,2021-04-17 01:09:49
melnikovo,56.5558,84.085,26.01,66.0,77.0,8.41,RU,2021-04-17 01:09:50
snellville,33.8573,-84.0199,62.01,44.0,1.0,8.05,US,2021-04-17 01:09:51
fukue,32.6881,128.8419,62.6,100.0,75.0,3.44,JP,2021-04-17 01:02:22
ulaangom,49.9811,92.0667,46.8,33.0,5.0,0.89,MN,2021-04-17 01:09:52
coralville,41.6764,-91.5805,51.8,58.0,20.0,6.91,US,2021-04-17 01:05:01
kushmurun,52.4503,64.6311,41.88,91.0,34.0,8.48,KZ,2021-04-17 01:09:53
kalat,29.0225,66.5916,52.59,37.0,0.0,5.55,PK,2021-04-17 01:06:11
moree,-29.4667,149.85,59.0,88.0,90.0,6.91,AU,2021-04-17 01:09:54
sydney,-33.8679,151.2073,64.0,68.0,100.0,1.99,AU,2021-04-17 01:06:20
